OrderID;SupplierID;PartNumber;OrderDate;DeliveryDate;OnTimeDelivery;LeadTime;QualityScore;Cost
1;S6;P223;2023-01-05;2023-01-09;Sí;4;2,04;12296,27
2;S10;P460;2023-12-02;2023-12-07;Sí;5;3,93;500,00
3;S9;P420;2023-01-15;2023-01-18;Sí;3;2,89;9327,22
4;S9;P331;2023-02-12;2023-02-17;Sí;5;4,37;3519,82
5;S1;P790;2023-07-15;2023-07-21;Sí;6;5,00;8057,82
6;S2;P211;2023-09-06;2023-09-09;No;3;3,35;5768,20
7;S1;P322;2023-03-10;2023-03-16;Sí;6;5,00;9842,37
8;S9;P847;2023-10-20;2023-10-23;No;3;1,07;2443,25
9;S2;P656;2023-09-15;2023-09-24;Sí;9;5,00;6319,76
10;S1;P134;2023-05-25;2023-05-29;No;4;5,00;10656,90
11;S6;P522;2023-02-14;2023-02-17;Sí;3;3,71;13208,44
12;S4;P873;2023-06-10;2023-06-13;Sí;3;2,01;6046,25
13;S10;P274;2023-01-25;2023-01-28;Sí;3;3,94;3030,37
14;S10;P762;2023-02-26;2023-03-18;Sí;20;3,35;8839,84
15;S3;P888;2023-10-25;2023-11-05;Sí;11;1,70;8194,72
16;S8;P777;2023-04-15;2023-04-24;Sí;9;5,00;500,00
17;S10;P386;2023-06-13;2023-06-24;No;11;5,00;10649,64
18;S8;P312;2023-07-09;2023-07-22;Sí;13;2,66;4521,05
19;S10;P939;2023-03-11;2023-03-26;Sí;15;5,00;11077,77
20;S10;P249;2023-09-25;2023-09-28;Sí;3;4,81;9665,00
21;S4;P614;2023-08-06;2023-08-18;Sí;12;1,17;500,00
22;S8;P831;2023-07-29;2023-08-05;Sí;7;5,00;11597,79
23;S3;P819;2023-12-25;2024-01-01;Sí;7;2,12;10453,71
24;S2;P627;2023-03-03;2023-03-18;Sí;15;2,64;16449,76
25;S9;P666;2023-08-21;2023-09-03;Sí;13;3,25;10392,36
26;S9;P375;2023-04-13;2023-04-23;No;10;5,00;6021,99
27;S10;P684;2023-11-14;2023-11-17;Sí;3;3,54;500,00
28;S6;P945;2023-07-27;2023-07-30;Sí;3;4,72;7833,88
29;S4;P880;2023-09-03;2023-09-22;Sí;19;5,00;2650,75
30;S10;P222;2023-06-03;2023-06-15;Sí;12;4,41;9501,98
31;S1;P162;2023-11-12;2023-11-15;Sí;3;4,53;745,84
32;S7;P795;2023-07-11;2023-07-24;Sí;13;5,00;8912,51
33;S6;P675;2023-12-30;2024-01-04;Sí;5;4,65;500,00
34;S3;P421;2023-02-14;2023-02-20;Sí;6;5,00;6030,43
35;S9;P930;2023-01-31;2023-02-07;No;7;5,00;12038,92
36;S8;P569;2023-12-23;2023-12-26;Sí;3;5,00;8135,15
37;S3;P964;2023-01-09;2023-01-18;Sí;9;1,65;7849,60
38;S6;P841;2023-01-19;2023-01-22;Sí;3;3,85;852,00
39;S7;P916;2023-12-21;2024-01-07;Sí;17;2,74;4434,58
40;S3;P953;2023-02-02;2023-02-09;Sí;7;2,30;735,20
41;S5;P745;2023-07-17;2023-07-27;Sí;10;3,49;13688,95
42;S4;P147;2023-01-22;2023-01-31;Sí;9;4,51;9400,92
43;S3;P182;2023-01-01;2023-01-13;Sí;12;1,00;12226,43
44;S10;P120;2023-01-09;2023-01-15;Sí;6;5,00;11645,89
45;S8;P503;2023-08-01;2023-08-18;Sí;17;2,27;15606,37
46;S8;P539;2023-07-10;2023-07-15;No;5;5,00;724,16
47;S7;P345;2023-03-01;2023-03-10;Sí;9;5,00;4192,60
48;S9;P339;2023-07-05;2023-07-10;Sí;5;1,37;6255,28
49;S7;P568;2023-03-11;2023-03-14;Sí;3;5,00;6919,91
50;S3;P378;2023-11-27;2023-12-05;No;8;5,00;738,34
51;S2;P921;2023-08-02;2023-08-05;Sí;3;1,90;7834,14
52;S8;P551;2023-08-05;2023-08-08;Sí;3;4,49;5136,69
53;S1;P535;2023-11-22;2023-11-29;Sí;7;5,00;7635,89
54;S9;P458;2023-09-30;2023-10-06;Sí;6;5,00;10702,45
55;S10;P236;2023-11-01;2023-11-04;No;3;3,84;5864,30
56;S2;P849;2023-09-15;2023-09-21;Sí;6;1,00;5315,72
57;S1;P675;2023-11-11;2023-12-02;Sí;21;4,47;11282,93
58;S2;P370;2023-01-13;2023-01-21;No;8;2,51;6573,79
59;S7;P899;2023-09-13;2023-09-18;Sí;5;4,90;5755,78
60;S8;P381;2023-06-30;2023-07-14;No;14;3,56;8743,52
61;S6;P437;2023-02-21;2023-03-08;Sí;15;4,57;17590,98
62;S2;P655;2023-08-09;2023-08-15;Sí;6;1,06;11271,32
63;S9;P419;2023-01-08;2023-01-26;Sí;18;4,40;12479,22
64;S5;P573;2023-01-21;2023-01-26;Sí;5;2,13;9690,52
65;S9;P247;2023-07-12;2023-07-15;No;3;5,00;6978,70
66;S4;P139;2023-08-27;2023-09-06;Sí;10;3,20;8324,76
67;S4;P733;2023-08-09;2023-08-14;No;5;5,00;3273,91
68;S3;P733;2023-02-27;2023-03-08;Sí;9;5,00;11994,54
69;S3;P825;2023-11-06;2023-11-11;No;5;5,00;13924,94
70;S1;P249;2023-07-13;2023-07-23;No;10;4,56;9077,94
71;S6;P755;2023-06-10;2023-06-13;Sí;3;4,57;10892,46
72;S8;P783;2023-03-26;2023-04-03;No;8;5,00;9286,79
73;S10;P728;2023-05-23;2023-06-02;No;10;4,37;8718,47
74;S5;P606;2023-06-05;2023-06-08;Sí;3;2,02;19980,99
75;S8;P344;2023-01-28;2023-02-12;Sí;15;3,63;9015,55
76;S5;P192;2023-04-03;2023-04-23;No;20;2,04;7592,13
77;S2;P454;2023-08-31;2023-09-03;Sí;3;4,68;11809,40
78;S1;P879;2023-12-28;2024-01-03;Sí;6;5,00;15181,22
79;S9;P785;2023-07-13;2023-07-18;No;5;2,96;2218,32
80;S7;P552;2023-05-22;2023-06-08;Sí;17;1,00;11188,67
81;S2;P227;2023-11-15;2023-11-18;Sí;3;3,61;5905,45
82;S9;P435;2023-01-06;2023-01-25;Sí;19;5,00;7092,95
83;S10;P391;2023-12-18;2023-12-21;Sí;3;5,00;18364,07
84;S7;P670;2023-10-11;2023-10-14;No;3;5,00;2228,06
85;S2;P932;2023-07-20;2023-07-28;No;8;1,25;500,00
86;S9;P765;2023-04-05;2023-04-13;Sí;8;2,55;6373,28
87;S1;P352;2023-06-30;2023-07-03;Sí;3;5,00;11110,25
88;S9;P766;2023-11-04;2023-11-14;Sí;10;4,07;6056,55
89;S8;P269;2023-05-30;2023-06-04;No;5;1,00;8135,35
90;S5;P819;2023-04-27;2023-04-30;No;3;4,17;2187,14
91;S6;P855;2023-10-27;2023-11-13;Sí;17;5,00;6959,70
92;S4;P711;2023-07-17;2023-07-27;Sí;10;5,00;4458,39
93;S2;P121;2023-02-14;2023-02-27;Sí;13;1,00;1479,27
94;S6;P469;2023-09-28;2023-10-08;No;10;1,87;5663,07
95;S4;P433;2023-09-19;2023-09-22;Sí;3;3,18;500,00
96;S5;P889;2023-09-29;2023-10-12;Sí;13;5,00;9976,86
97;S9;P626;2023-09-06;2023-09-11;Sí;5;2,38;12894,40
98;S8;P846;2023-08-31;2023-09-10;Sí;10;5,00;876,06
99;S3;P166;2023-05-26;2023-06-02;No;7;5,00;8454,68
100;S1;P679;2023-07-17;2023-07-20;Sí;3;3,09;8402,00
101;S2;P359;2023-01-02;2023-01-12;Sí;10;1,00;8238,68
102;S8;P207;2023-09-24;2023-10-06;Sí;12;1,32;6823,70
103;S5;P930;2023-04-24;2023-05-01;Sí;7;5,00;10712,46
104;S3;P283;2023-07-07;2023-07-20;Sí;13;5,00;14273,86
105;S9;P627;2023-05-11;2023-05-19;Sí;8;5,00;500,00
106;S5;P110;2023-12-13;2023-12-26;Sí;13;1,61;7562,80
107;S10;P887;2023-09-06;2023-09-11;Sí;5;3,09;7548,86
108;S3;P351;2023-05-18;2023-05-22;Sí;4;5,00;12862,41
109;S2;P593;2023-05-21;2023-06-02;Sí;12;3,84;9333,78
110;S2;P308;2023-05-15;2023-05-18;Sí;3;3,45;12778,30
